Source,Category,Headline,Link,Description,Date,Author
Copperbelt Energy,"News,Power Dynamos",Power Dynamos Launches Women’s Team,https://cecinvestor.com/search/kitwe/feed/rss2/,"July 11, 2025, Kitwe, Zambia – In an effort to continue positively impacting local communities, the primary sponsor of Power Dynamos Football Club, Copperbelt Energy Corporation (CEC) Group of Companies, has given the green light for the establishment of a women’s team within its subsidiary, Power Dynamos Sports Limited, which will be called ‘Power Queens  [...]",2025-07-11 09:17:25,CEC team
Copperbelt Energy,"News,Power Dynamos",PDFC Reinforces Squad Ahead of CAF Championship and Local League,https://cecinvestor.com/search/kitwe/feed/rss2/,"July 4, 2025, Kitwe, Zambia – Power Dynamos Football Club (PDFC) is pleased to announce five new acquisitions to reinforce its squad as it prepares for the 2025/26 MTN sponsored Zambian Premier League (ZPL) season and the Confederation of African (CAF) Champions League. Among the new signings is Moses Shumah, the Kenyan league’s top scorer  [...]",2025-07-09 14:03:31,CEC team
Daily Revelation Zambia,Local,All activity on Zambia-Russia nuclear project ceased in 2021 – Ambassador,https://dailyrevelationzambia.com/search/kitwe/feed/rss2/,This content is for members only. Visit the site and log in/register to read.,2025-07-14 01:45:00,drz
Daily Revelation Zambia,Lifestyle,ZNBC board chairman questions K3m dividend from Top Star,https://dailyrevelationzambia.com/search/kitwe/feed/rss2/,"By Staff Reporter  ZNBC board chairperson Bishop Joseph Kazhila has questioned the K3 million dividend declared by Top Star. And President Hakainde Hichilema said the government is concerned with the strategic partnerships that ZNBC entered into because they are not delivering the results. Speaking during the ZNBC board visit to State House yesterday, Bishop Kazhila [&#8230;]",2025-07-11 01:16:00,drz
Zambia Monitor,Metro,"Police in Kasama recover suspected ZESCO cables set for sale as scraps; 2 Chinese, 5 nationals",https://www.zambiamonitor.com/search/kitwe/feed/rss2/,"<img alt="""" class=""webfeedsFeaturedVisual wp-post-image"" height=""200"" src=""https://www.zambiamonitor.com/wp-content/uploads/2025/07/IMG-20250710-WA0055-300x200.jpg"" style=""display: block; margin-bottom: 5px; clear: both;"" width=""300"" /><p>Police in Kasama have reportedly apprehended seven people, among them two Chinese national in an operation that has seen copper cables recovered. The seven suspects allegedly disguised as buyers of scrap metals which appeared like ZESCO cables. Northern Province Police Commanding Officer, Lucky Munkhondya, said in a statement on Thursday that items recovered by the police included cables believed to be ZESCO service cables as well as phones . Read more :kitwe-police-launch-probe-into-suspected-murder-of-unidentified-man-found-lying-on-the-road-in-garneton-east-compound &#8220;Among the seven suspects include six males and one female from Musenga Township of Kasama,&#8221; Munkhondya said. &#8220;From the six male suspects, two are Chinese nationals who are [&#8230;]</p>
<p>The post <a href=""https://www.zambiamonitor.com/police-in-kasama-recover-suspected-zesco-cables-set-for-sale-as-scraps-2-chinese-5-nationals/"">Police in Kasama recover suspected ZESCO cables set for sale as scraps; 2 Chinese, 5 nationals</a> first appeared on <a href=""https://www.zambiamonitor.com"">Zambia Monitor</a>.</p>",2025-07-10 18:24:56,Kenneth Lutena
