Source,Category,Headline,Link,Description,Date,Author
Copperbelt Energy,Careers,CEC Career Opportunity: Technician – Civil Maintenance,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field: VAC-2024-0006: TECHNICIAN - CIVIL MAINTENANCE Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for undertaking and implementing activities of on-site construction and maintenance works by performing activities such as machining, fabrication, joinery, tiling, roofing, etc. in conjunction with other subordinates,","Wed, 14 Aug 2024 19:41:20 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Engineer – Software Development,https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe CEC invites applications from suitably qualified and innovative individuals to take up the position of Engineer - Software Development. The role ensures developed systems are delivered and implemented in accordance with development standards and systems governance framework. This role includes the design, development, testing and maintenance","Tue, 23 Jul 2024 06:51:35 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Social Responsibility,Featured","CEC enhances Kitwe Teaching Hospital with new Paediatric Ward and ICU, investing 7 million Kwacha in healthcare",https://cecinvestor.com/search/kitwe/feed/rss2/,"The Copperbelt Energy Corporation Plc (CEC) handed over the refurbished Luntembwe paediatric ward and newly constructed Intensive Care Unit (ICU) at Kitwe Teaching Hospital to the Government of the Republic of Zambia on Saturday, July 6, 2024. The modernised ward and newly created ICU, costing seven million Kwacha, will improve the delivery of healthcare services","Mon, 08 Jul 2024 15:21:02 +0000",CEC Investor Relations
Copperbelt Energy,"Corporate Announcements,Featured",CEC Renewables announces First Green Bond Coupon Payment of  USD 2.4 million,https://cecinvestor.com/search/kitwe/feed/rss2/,"LUSAKA, Zambia - June 21, 2024 - CEC Renewables, a subsidiary of Copperbelt Energy Corporation PLC (CEC), is pleased to announce its first Green Bond Coupon payment of USD 2.4 million. The first coupon payment marks the Bond’s sixth month anniversary, which now makes it tradeable on the Lusaka Securities Exchange. This milestone payment not","Fri, 21 Jun 2024 14:04:21 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Analyst – Human Resource Information System (01),https://cecinvestor.com/search/kitwe/feed/rss2/,Grade: CEC7 | Contract Type: Permanent | Location: Kitwe The job holder will be required to provide effective and efficient Human Resource Information System (HRIS) support and HR Operational support and coordination in order to help Management make decisions according to the company’s human resource-documented information. The job holder will be reporting to the Manager,"Mon, 27 May 2024 15:06:15 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Instrumentation Technician (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC9 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out the repairs, maintenance and calibration of various electronic instruments to ensure that they are in sound operating conditions. The job holder will be reporting to the Supervisor – Power Plants (Instrumentation). Key Accountabilities Undertake preventative maintenance on all Gas","Mon, 27 May 2024 15:05:31 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Supply Assistant (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC9 | Contract Type: Permanent | Location: Kitwe This role is responsible for providing routine and transactional supply service support by replenishing, storing, maintaining issuing items and materials to meet company requirements. The job holder will be reporting to the Advisor – Warehouse &amp; Inventory Control. Key Accountabilities Issue goods, materials, supplies and consignments","Mon, 27 May 2024 15:04:41 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Announcements,Downloads,Featured,Green Bond",CEC Renewables releases the 2023 Green Bond Annual Impact Report,https://cecinvestor.com/search/kitwe/feed/rss2/,"13th January 2024, Lusaka – Zambia's debut Green Bond has been successfully listed on the Lusaka Securities Exchange (LuSE), marking a significant milestone achieved through CEC’s subsidiary, CEC Renewables Ltd. This achievement is set to play a pivotal role in driving the development of renewable energy within the country.","Fri, 24 May 2024 13:32:19 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,"CEC Renewables | Career opportunity: Health, Safety, Environment & Community Liaison Officer (x1)",https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have a career opportunity for Health, Safety, Environment &amp; Community Liaison Officer (x1) Contract Type: Fixed Term Contract | Job Location: Kitwe This role is critical in ensuring compliance with Zambian laws on environmental management, social safeguards and Occupational Health and Safety, IFC Performance Standards on Environmental and Social Sustainability and, World Bank","Wed, 24 Apr 2024 10:47:17 +0000",CEC Investor Relations
Copperbelt Energy,"Featured,News",CEC Commissions 60MW Itimpi Solar Photovoltaic Power Station in Kitwe,https://cecinvestor.com/search/kitwe/feed/rss2/,"Copperbelt Energy Corporation (CEC) has taken a significant stride towards sustainable operations with the successful commissioning of the 60-megawatt Itimpi Solar Photovoltaic Power Station in Garneton, Kitwe, held on Wednesday, 10th April 2024. The Plant was unveiled by the President of the Republic of Zambia, H.E. Mr Hakainde Hichilema, along with other dignitaries and stakeholders.","Mon, 15 Apr 2024 14:26:47 +0000",Lovejoy Musundire
Copperbelt Energy,"Annual Report,Corporate Announcements,Downloads,Featured,AF",CEC 2023 Annual Report released,https://cecinvestor.com/search/kitwe/feed/rss2/,"I am pleased with the great progress we made during the year on several fronts. Achieving notable progress on our sustainability priorities, settling the remaining historical risks, and continuing with the consolidation of our DRC business was at the centre of the milestones achieved in the year. We are confident in the agility of the","Thu, 07 Mar 2024 21:43:10 +0000",CEC Investor Relations
Copperbelt Energy,"Corporate Announcements,Featured,AF",CEC – Notice and Agenda of the Twenty-Sixth Annual General Meeting,https://cecinvestor.com/search/kitwe/feed/rss2/,"NOTICE IS HEREBY GIVEN that the Twenty-Sixth Annual General Meeting (AGM) of the Members of Copperbelt Energy Corporation PLC will be held virtually through the Corpserve eAGM Platform whose link is provided under (“Notes”) below and physically at CEC Ravens Country Club, on Thursday, 28th March 2024 commencing at 10:00 hours to transact the business","Thu, 07 Mar 2024 07:25:32 +0000",Lovejoy Musundire
Copperbelt Energy,"Corporate Announcements,Downloads,Featured,AF",CEC releases Consolidated Audited Results for the Financial Year Ended 31 December 2023,https://cecinvestor.com/search/kitwe/feed/rss2/,"Managing Director, Owen Silavwe, commented: “I am thrilled to present our strong business performance for 2023. The Group has continued to make progress in the delivery of its strategic priorities which should steadily translate into value for our stakeholders. As evidenced by the key performance statistics presented herein, we continue to deliver on our operational","Fri, 01 Mar 2024 12:34:38 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Technician – Electrical,https://cecinvestor.com/search/kitwe/feed/rss2/,We invite applications from suitably qualified and innovative individuals to take up the position of Technician - Electrical to be based in Kitwe. The successful candidate will be required to carry out regular way leave patrols in order to inspect and determine the condition of all the Company transmission lines and ancillary equipment for effective,"Wed, 24 Jan 2024 15:37:07 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Manager – Digital Innovations (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC5 | Contract Type: Permanent | Location: Kitwe This role is responsible for driving digital innovation through automation, digitalisation, and software development. It serves as a bridge between business requirements and technology solutions, collaborate with various departments to create digital transformation strategies, design data analytics tools, evaluate emerging technologies, procure specialised software applications, and","Thu, 30 Nov 2023 06:04:12 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,"CEC Career Opportunity: Engineer – Information Security, Governance & Compliance (01)",https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe The job holder will be required to ensure organisational alignment with regulations, standards, and best practices for data protection and operational integrity. This role includes proactive identification and resolution of cyber issues, post-incident analysis, and driving digital landscape improvements. Additionally, the job holder will play a","Thu, 30 Nov 2023 06:03:07 +0000",Lovejoy Musundire
Copperbelt Energy,Careers,CEC Career Opportunity: Advisor – Talent Management (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe This role will be responsible for creating a high-performance culture by providing talent development initiatives, Company-wide Learning &amp; Development plans and facilitating effective performance management system. In addition, the role will ensure that all talent development plans and initiatives are linked to the fulfilment of the","Mon, 02 Oct 2023 19:00:24 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Advisor – HR Operations (01),https://cecinvestor.com/search/kitwe/feed/rss2/,"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe This role will be required to perform a variety of HR operational and administrative functions that includes implementation of HR plans, policies and procedures at departmental level and proactive engagements with various units of the business to ensure effective and efficient delivery of HR solutions that","Mon, 02 Oct 2023 18:52:36 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Manager – HR Operations (01),https://cecinvestor.com/search/kitwe/feed/rss2/,Grade: CEC5 | Contract Type: Permanent | Location: Kitwe This role is responsible for overseeing the day-to-day HR operations and the successful execution of HR plans and processes that are aligned to the departmental and overall Company strategy whilst driving an efficient and optimal employee experience. The job holder will be reporting to the Chief,"Mon, 02 Oct 2023 18:43:57 +0000",CEC Investor Relations
Copperbelt Energy,Careers,CEC Career Opportunity: Creditors Accountant,https://cecinvestor.com/search/kitwe/feed/rss2/,"We invite applications from suitably qualified and innovative individuals to take up the position of Creditors Accountant to be based in Kitwe. The successful candidate will be required to review, process and prepare payments for all goods and services supplied to the Company and reconcile supplies’ accounts on a regular basis, as well as preparing","Wed, 06 Sep 2023 06:56:20 +0000",Lovejoy Musundire
